category,count_in_source,group_key_assigned
Church,249,generic_church
Elementary school,104,elementary
High school,56,high_school
University,48,higher_ed
Christian church,44,evangelical
Catholic church,42,catholic
Baptist church,40,baptist
Educational institution,37,elementary
Preschool,33,preschool
Middle school,31,middle_school
Martial arts school,25,martial_arts
Driving school,21,vocational
After school program,20,elementary
Private educational institution,17,private_k12
College,16,higher_ed
Religious institution,15,generic_church
Trade school,15,vocational
Music school,14,dance_music
School district office,13,DROPPED
Religious organization,13,generic_church
Presbyterian church,12,mainline_protestant
Dance school,11,dance_music
Montessori school,10,preschool
Church of Christ,10,mainline_protestant
United Methodist church,10,mainline_protestant
School center,10,DROPPED
General education school,9,elementary
Lutheran church,9,mainline_protestant
Apostolic church,9,pentecostal
Beauty school,9,vocational
Research institute,9,higher_ed
Non-denominational church,8,evangelical
Pentecostal church,8,pentecostal
Seventh-day Adventist church,8,evangelical
Charter school,7,private_k12
Truck driving school,7,vocational
Adult education school,7,vocational
Community college,6,higher_ed
Barber school,6,vocational
Assemblies of God church,6,pentecostal
Catholic school,5,catholic
Special education school,5,elementary
Calvary Chapel church,5,evangelical
Technical school,5,vocational
Religious destination,5,generic_church
Church of the Nazarene,5,mainline_protestant
Buddhist temple,4,generic_church
Nursing school,4,vocational
Episcopal church,4,mainline_protestant
Language school,4,vocational
Medical school,4,vocational
Massage school,4,vocational
Synagogue,3,generic_church
Shrine,3,generic_church
Public educational institution,3,elementary
Public university,3,higher_ed
Religious school,3,private_k12
Karate school,3,martial_arts
Anglican church,3,mainline_protestant
Foursquare church,3,pentecostal
Korean church,3,evangelical
Evangelical church,3,evangelical
Computer training school,3,vocational
Emergency training school,3,vocational
Vocational school,3,vocational
Ballet school,3,dance_music
Hindu temple,2,generic_church
Institute of technology,2,higher_ed
Jujitsu school,2,martial_arts
Mosque,2,generic_church
Hispanic church,2,pentecostal
Methodist church,2,mainline_protestant
Flight school,2,vocational
Fire fighters academy,2,vocational
School administration office,2,DROPPED
Dental school,2,vocational
Firearms academy,2,vocational
Taekwondo school,2,martial_arts
English language school,2,vocational
School bus service,2,DROPPED
Police academy,2,vocational
Sports school,2,martial_arts
University hospital,1,DROPPED
Primary school,1,elementary
K-12 school,1,elementary
Eastern Orthodox Church,1,mainline_protestant
Orthodox synagogue,1,generic_church
Conservative synagogue,1,generic_church
Messianic synagogue,1,generic_church
Unitarian Universalist Church,1,evangelical
Church of Jesus Christ of Latter-day Saints,1,mainline_protestant
Greek Orthodox church,1,mainline_protestant
Engineering school,1,vocational
Girls' high school,1,high_school
Unity church,1,evangelical
Gospel church,1,evangelical
Preparatory school,1,high_school
Co-ed school,1,high_school
Graduate school,1,higher_ed
International school,1,high_school
Religious goods store,1,generic_church
Protestant church,1,mainline_protestant
Parsi temple,1,generic_church
Gymnasium school,1,high_school
University library,1,DROPPED
Culinary school,1,vocational
University lab room,1,DROPPED
Architecture school,1,vocational
Christian college,1,higher_ed
Cooking school,1,vocational
United Church of Christ,1,mainline_protestant
Disciples of Christ Church,1,mainline_protestant
Art school,1,vocational
Parish,1,catholic
Self defense school,1,martial_arts
Tai chi school,1,martial_arts
Military school,1,high_school
Montessori preschool,1,preschool
Real estate school,1,vocational
Kindergarten,1,elementary
Aviation training institute,1,vocational
Mathematics school,1,vocational
Handicraft school,1,vocational
Wrestling school,1,martial_arts
School house,1,elementary
Bartending school,1,vocational
Horse riding school,1,martial_arts
