title,street,city,state,phone,website,category,segment,use_case_en,use_case_es
El Paso Education Initiative Inc,785 Southwestern Dr,El Paso,Texas,,http://www.burnhamwood.org/,Charter school,school_k12,"your back-to-school events, family nights and end-of-year celebrations","los eventos de regreso a clases, noches familiares y celebraciones de fin de año"
Southwest Hindu Temple Society,6168 Strahan Rd,El Paso,Texas,(915) 877-5560,http://www.hindutempleofelpaso.org/,Hindu temple,church,"your cultural festivals, holiday celebrations and community pujas","los festivales culturales, celebraciones de festividades y eventos comunitarios"
Temple Mt Sinai,4408 N Stanton St,El Paso,Texas,(915) 532-5959,http://www.templemountsinai.com/,Synagogue,church,"your outdoor services, Sukkot gatherings and community celebrations","los servicios al aire libre, celebraciones de Sukkot y eventos comunitarios"
"Chenrezig Tibetan Buddhist Cultural Center of El Paso , TX",2117 Yandell Dr,El Paso,Texas,,https://ctbcc.org/,Buddhist temple,church,"your cultural festivals, holiday celebrations and community pujas","los festivales culturales, celebraciones de festividades y eventos comunitarios"
Lhakhang Temple,Lhakhang Building,El Paso,Texas,(915) 747-8994,https://www.utep.edu/centennial-museum/lhakhang/index.html,Shrine,church,"your cultural festivals, holiday celebrations and community pujas","los festivales culturales, celebraciones de festividades y eventos comunitarios"
New Nilachal - ISKCON El Paso,101 Clairemont Rd,El Paso,Texas,(915) 270-1615,https://www.facebook.com/profile.php?id=100070540630126&mibextid=LQQJ4d,Hindu temple,church,"your cultural festivals, holiday celebrations and community pujas","los festivales culturales, celebraciones de festividades y eventos comunitarios"
Bethlehem Temple PAW,4131 Yandell Dr,El Paso,Texas,(915) 565-6884,,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Praise Temple Full Gospel Baptist Church,6230 Dyer St,El Paso,Texas,(915) 694-3569,,Baptist church,church,"your Vacation Bible School, summer revivals, homecomings and outdoor baptisms","la Escuela Bíblica de Vacaciones, campañas de verano, aniversarios y bautizos al aire libre"
Vida Plena Temple Jerusalem,758 Gateway N Blvd,El Paso,Texas,,,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Steel Temple,,El Paso,Texas,,,Religious institution,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Revolution Emanuel Ministries Inc.,1722 Banker Rd,Canutillo,Texas,,,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Abundant Church,7100 N Desert Blvd,El Paso,Texas,(915) 532-8543,http://www.abundant.org/,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Stanton Elementary School,5414 Hondo Pass Dr,El Paso,Texas,(915) 236-6125,https://www.episd.org/stanton,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
Bliss Elementary School,4401 Sheridan Rd # 2038,El Paso,Texas,(915) 236-5150,http://bliss.episd.org/,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
Newman Elementary School,10275 Alcan St,El Paso,Texas,(915) 236-5825,http://newman.episd.org/,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
