title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,categories/9,categories/10,categories/11,categories/12,categories/13,categories/14,categories/15,categories/16,categories/17,categories/18,categories/19,categories/20,categories/21,categories/22,url,categoryName
El Paso Education Initiative Inc,,,785 Southwestern Dr,El Paso,Texas,US,http://www.burnhamwood.org/,,Charter school,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=El%20Paso%20Education%20Initiative%20Inc&query_place_id=ChIJ__9vWuT43YYR7k6xcVFUcNM,Charter school
Southwest Hindu Temple Society,4.7,40,6168 Strahan Rd,El Paso,Texas,US,http://www.hindutempleofelpaso.org/,(915) 877-5560,Hindu temple,Religious organization,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Southwest%20Hindu%20Temple%20Society&query_place_id=ChIJwS0CCTb53YYRXcXID2E1Lv0,Hindu temple
Temple Mt Sinai,4.7,40,4408 N Stanton St,El Paso,Texas,US,http://www.templemountsinai.com/,(915) 532-5959,Synagogue,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Temple%20Mt%20Sinai&query_place_id=ChIJzQ6iMCRY54YR3xsLnMtPZOY,Synagogue
"Chenrezig Tibetan Buddhist Cultural Center of El Paso , TX",5,21,2117 Yandell Dr,El Paso,Texas,US,https://ctbcc.org/,,Buddhist temple,Meditation center,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Chenrezig%20Tibetan%20Buddhist%20Cultural%20Center%20of%20El%20Paso%20%2C%20TX&query_place_id=ChIJGeevcKRZ54YRTx22XENzBd0,Buddhist temple
Lhakhang Temple,5,6,Lhakhang Building,El Paso,Texas,US,https://www.utep.edu/centennial-museum/lhakhang/index.html,(915) 747-8994,Shrine,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Lhakhang%20Temple&query_place_id=ChIJcYkG919Z54YRXtjCjMUoKoc,Shrine
New Nilachal - ISKCON El Paso,5,5,101 Clairemont Rd,El Paso,Texas,US,https://www.facebook.com/profile.php?id=100070540630126&mibextid=LQQJ4d,(915) 270-1615,Hindu temple,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=New%20Nilachal%20-%20ISKCON%20El%20Paso&query_place_id=ChIJKa2E2VpX54YRUArw2rsHuX8,Hindu temple
Bethlehem Temple PAW,4.5,6,4131 Yandell Dr,El Paso,Texas,US,,(915) 565-6884,Church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Bethlehem%20Temple%20PAW&query_place_id=ChIJbdBMpIdZ54YR2-C6BnQGXNk,Church
Praise Temple Full Gospel Baptist Church,4.9,46,6230 Dyer St,El Paso,Texas,US,,(915) 694-3569,Baptist church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Praise%20Temple%20Full%20Gospel%20Baptist%20Church&query_place_id=ChIJSaygc8Na54YRvTp4Hg5SKTA,Baptist church
Vida Plena Temple Jerusalem,5,4,758 Gateway N Blvd,El Paso,Texas,US,,,Church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Vida%20Plena%20Temple%20Jerusalem&query_place_id=ChIJw57Y1Cla54YRgOHePfsC7B8,Church
Steel Temple,,,,El Paso,Texas,US,,,Religious institution,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Steel%20Temple&query_place_id=ChIJXx_iMeZa54YRxCowbeIi58o,Religious institution
